source,question,answer,rating
01_file1,.47.5....6.9.3.4..53..........9..6.....3.6.82.....5.4.79...4..64.37......56.9....,247659318689137425531482967874921653915346782362875149798514236423768591156293874,22
puzzles4_forum_hardest_1905,6....3.1...3.8.9.....4....2.3......41...9..8...8..76..3..6..7...5...2.....1.3..5.,642973815573281946819456372735168294126394587498527631384615729957842163261739458,5
puzzles4_forum_hardest_1905,2....9..4..71..5...8.......3...4.6.....2....3.2...349.9....2..6.1..8.......5...7.,236759184497168532581324769379845621164297853825613497958472316713986245642531978,13
puzzles1_unbiased,....864....9.....145.3........4..293...9.2..........46..2.9..3.8.37.15..7...2....,237186459689254371451379628576418293314962785928537146142695837893741562765823914,1
01_file1,9.......1..8..3....3691.8.....5.....8....69...6......462...13......2..7...76.91..,954768231718253496236914857491582763875346912362197584629871345183425679547639128,22
01_file1,24...13..6.....9......7..247...2..6..3.8....2.....35...2..4...7...3.....3.7......,249651378678432915153978624781529463536814792492763581925146837814397256367285149,29
puzzles1_unbiased,3.5..829.7....216.8....45....7.2..1..9.....5.1..5.......8.1..7....4.9.......8...9,365178294749352168821694537457923816296841753183567942938216475572439681614785329,0
puzzles1_unbiased,.3.2.1..62........1.4..5..785..4........5.92.4.21.7.3.7.....45...1.23............,935271846276489315184635297853942761617358924492167538729816453541723689368594172,2
01_file1,2......6....7.53...53.6.8.7..2.7.5..5....1........4..23.....7.882..5...6.673.....,274813965681795324953462817132678549548921673796534182315246798829157436467389251,11
puzzles1_unbiased,......8....82..64.9.1...7....27.8...38..5......5..2.....9.....8..7.9..1..2..74.3.,243567891758219643961483752192748365384651927675932184519326478437895216826174539,0
puzzles4_forum_hardest_1905,.....2.9..4.1..7..2...9.8.18..9...7...3.7.....6...5.....2...3...8..6...51..2...8.,318752496946183752257694831821936574593471268764825913672518349489367125135249687,13
puzzles4_forum_hardest_1905,.....6..7.86...9..7...9..2.4....72...6........3.4.....8...497....1....5.6....28..,319286547286754931745391628498137265167925384532468179853649712921873456674512893,8
puzzles4_forum_hardest_1905,.........58..4.2....7.....5..9..8.2.3....48..82..5...3...5.13.2.5.4..6..63..8....,193625748586147239247839165769318524315294876824756913478561392952473681631982457,26
puzzles4_forum_hardest_1905,..48...1.5..1......1...5..7..2...9...3.4....87....6.3...9..32.......8.5..6..1...3,694872315527134896813695427182357964936421578745986132459763281371248659268519743,30
puzzles1_unbiased,....69582....47..3..2......4........9..5.47....7....6..9.4.......1.96...78...51..,374169582859247613612853947425671839968534721137982465593418276241796358786325194,0
01_file1,9...3.8.2.83....51.....5...2.....1....72.......438.....2.5.89.33..92........1..28,956137842783492651142865739235749186817256394694381275421578963368924517579613428,10
01_file1,.9..6...1.781...3....2...9.....2.......53.92....9.61....9..52...2..1.3...3.....56,294763581578149632361258794913427865486531927752986143649375218825614379137892456,20
puzzles0_kaggle,.7..9..21.8.1.4.9......34..3162..78...5.....42..5...36.29.67..87....835.1...5.6.9,473695821682174593951823467316249785895736214247581936529367148764918352138452679,0
puzzles4_forum_hardest_1905,.....1...5..63.4.1...5...6.......2...4..2....2....6.3.4....5.1...6..3.4.379.....8,632941875587632491914578362863417259745329186291856734428795613156283947379164528,7
puzzles4_forum_hardest_1905,6.......9.2.1...7...4...3....2.5..9.8..2.9..5.....82...3....4....76...2.9.......1,613872549529134678784965312142356897876249135395718264231597486457681923968423751,11
01_file1,.6...19.......4.7..7936.4.131..4...6.471.6.9....73........9.2.............4..75..,465871932123954678879362451318549726547126893296738145751693284982415367634287519,19
puzzles1_unbiased,....4...........25...2.1..6......5.7.2.93.48.68.71....23..8..5.91....87.......1..,362549718471863925859271346193428567725936481684715293237184659916352874548697132,0
puzzles4_forum_hardest_1905,....7..93.8.3...71.....18.......2..45....4..7.1..3.9...7..8.3..6..........25...6.,156278493489365271327941856798152634563894127214637985975486312631729548842513769,30
puzzles4_forum_hardest_1905,..2.3.9..........71....8.2.45.......2..1..8....7.2...9.4.6..7.......56.3..6.7..9.,672531948385294167194768325459387216263159874817426539948613752721945683536872491,39
puzzles4_forum_hardest_1905,.1...6.4...7...3..9..7....8..9.4.....7.3...5.1....2..68....3.7..9.2....5..2.8.1..,513826947487159362926734518639548721278361459145972836851693274394217685762485193,21
puzzles4_forum_hardest_1905,3....2.4......7..9.1.4..6..8.....1.6.6.1...9.....7...5..2.35.....8.......5.9....4,379612548486357219215498673827549136564183792931276485142835967698724351753961824,22
puzzles0_kaggle,.4......8.71..463.9......5.4...963...8.7.2.19..5.387.6....2..4..138.....8..5712..,642315978571984632938267154427196385386752419195438726759623841213849567864571293,0
puzzles0_kaggle,....8197..27....53......6.484..2.36..51..4.896...3.1.5..6.9.7...3.57.....9.8...2.,465381972127649853983257614849125367351764289672938145516492738238576491794813526,0
puzzles4_forum_hardest_1905,...8...........7.312..7..8...572..1....91.6..91...8.7.87.2...9..5.......2.9...4..,537892146498561723126374985645723819782915634913648572874256391351489267269137458,28
01_file1,8...3.42.4..89......3..4.....9...7.6...1.......8.2..4.2.1.83......9..3.19..41....,895631427412897653673254918129548736346179285758326149261783594584962371937415862,6
01_file1,23..7..6..1......2......9......9..8..6.28....7..6.529.52.7..6.........59..68..7..,234978165819563472657142938142397586965284317783615294528739641371426859496851723,33
puzzles0_kaggle,5.....1...3...2.9.6..94738.3.84257..7.5........1.83.62..7...4.6...8...3.49..1...8,579368124834152697612947385368425719725691843941783562187239456256874931493516278,0
puzzles1_unbiased,.......7..4.5....6....9..45....385.9...4.....65.12.....2..81...4172....3..8...7..,195364278842517936736892145274638519981475362653129487329781654417256893568943721,0
puzzles4_forum_hardest_1905,71.4...9...8..3....3......6..5....7.14.7..6......2...169.3....7......9...8..9.4..,716452398928163745534879216265931874143785629879624531692348157457216983381597462,22
puzzles4_forum_hardest_1905,...9.....3..8.47.6....7..1...4..9.6.7...3.8...2......5..1..6.8..5.1....24...9....,867915243315824796942673518534289167796531824128467935271356489659148372483792651,7
01_file1,.8.......7.689....5...16....1.94.....79.2............8.6..891.5.5......71..7..96.,381572649746893512592416873815947326679328451234651798467289135953164287128735964,17
puzzles1_unbiased,.4....8628..........63....1.6.....9.4....1..8..9.6.4..5..8.3...32..165...847..3..,743159862812674953956382741268437195475291638139568427591843276327916584684725319,0
puzzles4_forum_hardest_1905,........8..9.6.2..2..1...3..65.2.....24..96..8........5....4..1..23...5..7..5.4..,736542198159863274248197536965421387324789615817635942593274861482316759671958423,17
puzzles1_unbiased,...8..6.5..37...9..2.9.4...8....2..3.......47.4.3..1..46..1.....5..9....2..4..8.1,914823675683751492725964318876142953139586247542379186468217539351698724297435861,3
puzzles4_forum_hardest_1905,..4..5..7....8.41.......95..79..41..6..3.....2..1...7..6.8......3..2......7..1.9.,824915637596783412713642958379254186641378529258196374162839745935427861487561293,21
01_file1,.2.7..9.6..6..1.2.89.2..71.1....7..9.69.....127....68..8....1.....5.48....7....6.,321748956756931428894265713148627539569483271273159684985376142632514897417892365,4
01_file1,5.249......1..3..939..512..1......7...3......4...2..8.....3......5....24..45..13.,562498713841273569397651248158346972623987451479125386216734895735819624984562137,14
puzzles1_unbiased,....39...6..7..8......5...9.5.2...46.62.8...53.1........68...5.81.5......27..16.8,184639572695724813273158469758213946962487135341965287436892751819576324527341698,1
puzzles4_forum_hardest_1905,...9....3..5.249...9..6..4........78.5.2..4..7....1....3.5..6....9....2.8.1......,674915283315824967298763541942356178153278496786491352437582619569137824821649735,35
puzzles4_forum_hardest_1905,4..........1.3.7.4.7.8...5...4.6..7.2....9.1..8.5....3.....2..19.....5....6.5..4.,452197386891635724673824159314268975265379418789541263537482691948716532126953847,18
puzzles4_forum_hardest_1905,.........5.....38......8745..1.2..7.3....7..4.6.9..5....2.1.....9.6..1.......3..7,284375619579461382613298745941526873325187964768934521832719456497652138156843297,11
puzzles1_unbiased,...1.6.3..12....54.6.........8....7.65.8..3.99...1...6..5...8...8.6.5..3.....9..7,549126738312798654867354291428963175651847329973512486795431862284675913136289547,4
puzzles4_forum_hardest_1905,..34.67...6.9....2....5..........89.........1.7.3.94..3..8.46...46.9.....87..5..4,293416785765938142418752963634521897829647351571389426352874619146293578987165234,14
puzzles4_forum_hardest_1905,......9..7.........2.8....1..35...1..1....8..5.2.....3..6.4.....5.36...8.3.1.5.62,348621957791453286625897341963582714417936825582714693176248539254369178839175462,56
puzzles1_unbiased,...2......9..1......753......81....7.49.7..3.....486..5.3..49.26.....1.5.7.......,435289716896417253127536498368192547249675831751348629513764982684923175972851364,1
puzzles2_17_clue,..6.....8.......5..1..3.......8.4..2..59......3.............4....8......2...1.73.,356179248927486153814235967691854372785923614432761895573692481168347529249518736,0
puzzles4_forum_hardest_1905,8......7...1..84...5.6....97.3...1....4.......2.9....3.3..62.....5.39..2...5.....,842195376961378425357624819793246158614853297528917643439762581185439762276581934,23
puzzles1_unbiased,........4..6....81.3.6.2...94......8.1...4.......83.....2.3...77.9..15...61.5..2.,195378264276945381834612975943726158618594732527183496452839617789261543361457829,2
puzzles4_forum_hardest_1905,.....7....49....6.1...4.95.5..2.......4.1.53..1......6.9..3..1.3.....67...5..1..8,853967421249153867167842953536274189784619532912385746498736215321598674675421398,13
puzzles4_forum_hardest_1905,..7.....5....8.7.3.2.7...8..5.27..6.9....1....8.6...5..4..6.5....8....4.2.54..8..,897326415614985723523714986451278369936541278782693154149862537378159642265437891,10
puzzles4_forum_hardest_1905,5....3....1...9.....76...4.9...1......62..7.........2..5....68...48....28...3.47.,568423917413579268297681543942317856136258794785964321351742689674895132829136475,19
puzzles1_unbiased,..8.2..3.56.8......9..57...6..1...7...5..4.93....63............8.1.....7376..198.,718426539563819724492357816634195278125784693987263145249678351851932467376541982,1
puzzles1_unbiased,..8.6.......572...3..8..6.........13..19.3..2......8.9.19...2.6.42...78.85.......,428361957196572348375894621987246513561983472234715869719458236642139785853627194,0
puzzles4_forum_hardest_1905,..14..7.54..75.2.1.......4..8....5....582..7.6........9....83......7...9..429..5.,821469735469753281573182946382617594195824673647935812916548327258371469734296158,38
01_file1,73....29...4......1.9...4.79....2..1...65..4...2....3.4..9.......1..3.7.27..1.3..,736145298854297613129368457967432581318659742542781936483976125691523874275814369,22
puzzles4_forum_hardest_1905,.8...3...9.7.5.34.5..1....8.7..2......5..12..2..9.5...7...1.9.....6...3...6..9..4,182743659967258341534196728679324815345861297218975463753412986491687532826539174,29
puzzles4_forum_hardest_1905,.2..9..8.8....65....1.....76...4...1..73...5..5...93...4...2.6.3...8.2.....9....5,526793184879416532431528697683245971297361458154879326948152763315687249762934815,17
puzzles1_unbiased,.4...5.....9....2......7..1.5.3.4............87....435...8.96.7.9674.3...1..3.2..,147295863589613724623487591952374186364158972871962435435829617296741358718536249,0
puzzles4_forum_hardest_1905,..3..9.87.4....5..8...........1..2..6......387....8..9.2.4.........5......7..3.6.,213549687946781523875362941489135276652974138731628459328496715164857392597213864,7
puzzles1_unbiased,.8.47....2.3...7....42.....7.59...8....6.3.4..4....1..3...8.5.6.....5.1........3.,681479325293518764574236891735941682812653947946827153329184576467395218158762439,0
puzzles4_forum_hardest_1905,...8...2...7.6..85.....4....8..9..57......2..5.93..1...78....1..6.......9...8..76,135879624247163985896524731683291457714658293529347168478936512362715849951482376,48
puzzles1_unbiased,2.9..7....1...8...7....4.6...6....27.4..5....9.23....8...6.3.9.3..4..1....5....8.,269137854514968732783524961136849527847256319952371648471683295328495176695712483,1
01_file1,.7....3..5.2.4......37...54..5.74...1..3.52...3721........2......4...18..21....9.,478591326562843719913762854285674931149385267637219548396128475754936182821457693,7
01_file1,....315...3.9...17...5.7.9....79..21....15.....93.2...6.4....59.9.2....3.2.....7.,967431582235968417481527396356794821872615934149382765614873259798256143523149678,28
puzzles4_forum_hardest_1905,.58..72..9............5.......7.1..3.16.2.8.......6....716..5..4......8..8...2.1.,158967234963214758247853961594781623716325849832496175371648592425179386689532417,66
puzzles1_unbiased,......31..14....9289...6.7.2..5.......79..6.44...........738..........2.....427..,572489316614357892893216475281564937357921684469873251126738549748695123935142768,0
puzzles1_unbiased,......3.....5294....81.6.2....7....4.3..6.7852....5.9..13.7..4.79......6.........,925487361361529478478136529856793214139264785247815693513678942792341856684952137,4
puzzles0_kaggle,.2...3.1.7.5..9.2....1...85..73.6.9..4..1.2..93..87..64.257.9..1..6..4..583..2.6.,824753619715869324396124785257346891648915273931287546462571938179638452583492167,0
01_file1,.9.18.3....3.75..4.......5.........96.......3..9.53.4..2.8.......5.974..........7,597184362283675194416932758342768519658419273179253846721846935865397421934521687,6
puzzles4_forum_hardest_1905,..81......1....5..6.3.4..91..5..9...3...2..4......7..84..2..6...3..6......69.4.32,548196273912378564673542891825439716367821945194657328489213657231765489756984132,64
01_file1,..2.....41.....7...7.5.86.163.......2.4..1..6.17.4.2.3....6.3.7..6....4.3..1.....,562719834183426759479538621635972418294381576817645293951264387726893145348157962,19
01_file1,.98.2..6.2...6.7.....3......7...4..2...6...57.5....43.5.....3.....57.2.662..4...5,498127563235469718761385924173854692942631857856792431584216379319578246627943185,31
puzzles4_forum_hardest_1905,..5..........8..4.86.1....2.1....5.3.8.2....49...4..7.6...2...1.3..18......6...3.,495732168321586749867194352214967583786253914953841276678325491539418627142679835,28
puzzles4_forum_hardest_1905,4.1.3...976..4..3......61....4..9.7.5..4.....6...8......7....1....2..3..3.6..4.92,421538769769142538835976124184659273573421986692387451247893615918265347356714892,7
puzzles4_forum_hardest_1905,..2..75......4..72....9....28.....5...6..5..15..4..6.....8..1....7..1.6.9.......3,892367514163548972754192386289613457346785291571429638635874129427931865918256743,42
